article_number,batch_name,char_length
100000,softcite_data/step1_txt/pmc/PMC1474058-0/text.txt.gz,3610
100001,softcite_data/step1_txt/pmc/PMC1474058-1/text.txt.gz,3369
100002,softcite_data/step1_txt/pmc/PMC1474058-2/text.txt.gz,4768
100003,softcite_data/step1_txt/pmc/PMC1474058-3/text.txt.gz,3428
100004,softcite_data/step1_txt/pmc/PMC1474058-4/text.txt.gz,1887
100005,softcite_data/step1_txt/pmc/PMC1538888-0/text.txt.gz,3538
100006,softcite_data/step1_txt/pmc/PMC1538888-1/text.txt.gz,3192
100007,softcite_data/step1_txt/pmc/PMC1538888-2/text.txt.gz,2689
100008,softcite_data/step1_txt/pmc/PMC1540729-0/text.txt.gz,4473
100009,softcite_data/step1_txt/pmc/PMC1540729-1/text.txt.gz,3227
100010,softcite_data/step1_txt/pmc/PMC1540729-2/text.txt.gz,4622
100011,softcite_data/step1_txt/pmc/PMC1540729-3/text.txt.gz,3264
100012,softcite_data/step1_txt/pmc/PMC1540729-4/text.txt.gz,3807
100013,softcite_data/step1_txt/pmc/PMC1540729-5/text.txt.gz,3058
100014,softcite_data/step1_txt/pmc/PMC1540729-6/text.txt.gz,2901
100015,softcite_data/step1_txt/pmc/PMC1616949-0/text.txt.gz,3754
100016,softcite_data/step1_txt/pmc/PMC1616949-1/text.txt.gz,3306
100017,softcite_data/step1_txt/pmc/PMC1616949-2/text.txt.gz,3935
100018,softcite_data/step1_txt/pmc/PMC1616949-3/text.txt.gz,4594
100019,softcite_data/step1_txt/pmc/PMC1616949-4/text.txt.gz,4837
100020,softcite_data/step1_txt/pmc/PMC1616949-5/text.txt.gz,3363
100021,softcite_data/step1_txt/pmc/PMC1616949-6/text.txt.gz,1752
100022,softcite_data/step1_txt/pmc/PMC1635254-0/text.txt.gz,3548
100023,softcite_data/step1_txt/pmc/PMC1635254-1/text.txt.gz,3740
100024,softcite_data/step1_txt/pmc/PMC1635254-2/text.txt.gz,3229
100025,softcite_data/step1_txt/pmc/PMC1635254-3/text.txt.gz,4238
100026,softcite_data/step1_txt/pmc/PMC1635254-4/text.txt.gz,5099
100027,softcite_data/step1_txt/pmc/PMC1635254-5/text.txt.gz,3178
100028,softcite_data/step1_txt/pmc/PMC1635254-6/text.txt.gz,958
100029,softcite_data/step1_txt/pmc/PMC1636350-0/text.txt.gz,3697
100030,softcite_data/step1_txt/pmc/PMC1636350-1/text.txt.gz,4113
100031,softcite_data/step1_txt/pmc/PMC1636350-10/text.txt.gz,4351
100032,softcite_data/step1_txt/pmc/PMC1636350-11/text.txt.gz,3523
100033,softcite_data/step1_txt/pmc/PMC1636350-12/text.txt.gz,1513
100034,softcite_data/step1_txt/pmc/PMC1636350-2/text.txt.gz,4001
100035,softcite_data/step1_txt/pmc/PMC1636350-3/text.txt.gz,4095
100036,softcite_data/step1_txt/pmc/PMC1636350-4/text.txt.gz,3640
100037,softcite_data/step1_txt/pmc/PMC1636350-5/text.txt.gz,3894
100038,softcite_data/step1_txt/pmc/PMC1636350-6/text.txt.gz,3603
100039,softcite_data/step1_txt/pmc/PMC1636350-7/text.txt.gz,4032
100040,softcite_data/step1_txt/pmc/PMC1636350-8/text.txt.gz,3874
100041,softcite_data/step1_txt/pmc/PMC1636350-9/text.txt.gz,3058
100042,softcite_data/step1_txt/pmc/PMC1747177-0/text.txt.gz,3595
100043,softcite_data/step1_txt/pmc/PMC1747177-1/text.txt.gz,3861
100044,softcite_data/step1_txt/pmc/PMC1747177-2/text.txt.gz,3781
100045,softcite_data/step1_txt/pmc/PMC1747177-3/text.txt.gz,3632
100046,softcite_data/step1_txt/pmc/PMC1747177-4/text.txt.gz,1106
100047,softcite_data/step1_txt/pmc/PMC1761435-0/text.txt.gz,3277
100048,softcite_data/step1_txt/pmc/PMC1761435-1/text.txt.gz,3970
100049,softcite_data/step1_txt/pmc/PMC1761435-2/text.txt.gz,4191
100050,softcite_data/step1_txt/pmc/PMC1761435-3/text.txt.gz,3826
100051,softcite_data/step1_txt/pmc/PMC1761435-4/text.txt.gz,2279
100052,softcite_data/step1_txt/pmc/PMC1781122-0/text.txt.gz,3644
100053,softcite_data/step1_txt/pmc/PMC1781122-1/text.txt.gz,3906
100054,softcite_data/step1_txt/pmc/PMC1781122-2/text.txt.gz,4089
100055,softcite_data/step1_txt/pmc/PMC1781122-3/text.txt.gz,3070
100056,softcite_data/step1_txt/pmc/PMC1781122-4/text.txt.gz,4063
100057,softcite_data/step1_txt/pmc/PMC1781122-5/text.txt.gz,1626
100058,softcite_data/step1_txt/pmc/PMC1802622-0/text.txt.gz,3792
100059,softcite_data/step1_txt/pmc/PMC1802622-1/text.txt.gz,4279
100060,softcite_data/step1_txt/pmc/PMC1802622-2/text.txt.gz,3968
100061,softcite_data/step1_txt/pmc/PMC1802622-3/text.txt.gz,3293
100062,softcite_data/step1_txt/pmc/PMC1802622-4/text.txt.gz,3262
100063,softcite_data/step1_txt/pmc/PMC1849898-0/text.txt.gz,3469
100064,softcite_data/step1_txt/pmc/PMC1849898-1/text.txt.gz,3891
100065,softcite_data/step1_txt/pmc/PMC1849898-2/text.txt.gz,4457
100066,softcite_data/step1_txt/pmc/PMC1849898-3/text.txt.gz,4141
100067,softcite_data/step1_txt/pmc/PMC1849898-4/text.txt.gz,3069
100068,softcite_data/step1_txt/pmc/PMC1849898-5/text.txt.gz,2921
100069,softcite_data/step1_txt/pmc/PMC1851647-0/text.txt.gz,3342
100070,softcite_data/step1_txt/pmc/PMC1851647-1/text.txt.gz,3530
100071,softcite_data/step1_txt/pmc/PMC1851647-10/text.txt.gz,3242
100072,softcite_data/step1_txt/pmc/PMC1851647-11/text.txt.gz,3074
100073,softcite_data/step1_txt/pmc/PMC1851647-12/text.txt.gz,45
100074,softcite_data/step1_txt/pmc/PMC1851647-2/text.txt.gz,3637
100075,softcite_data/step1_txt/pmc/PMC1851647-3/text.txt.gz,3160
100076,softcite_data/step1_txt/pmc/PMC1851647-4/text.txt.gz,4076
100077,softcite_data/step1_txt/pmc/PMC1851647-5/text.txt.gz,3547
100078,softcite_data/step1_txt/pmc/PMC1851647-6/text.txt.gz,3565
100079,softcite_data/step1_txt/pmc/PMC1851647-7/text.txt.gz,5517
100080,softcite_data/step1_txt/pmc/PMC1851647-8/text.txt.gz,4778
100081,softcite_data/step1_txt/pmc/PMC1851647-9/text.txt.gz,3288
100082,softcite_data/step1_txt/pmc/PMC1874646-0/text.txt.gz,3070
100083,softcite_data/step1_txt/pmc/PMC1874646-1/text.txt.gz,3821
100084,softcite_data/step1_txt/pmc/PMC1874646-2/text.txt.gz,4491
